Name of Task:  , Category:  , Priority:  , Starting Date of Task:  , Ending Date of Task:  , Type of Alert:  , Notes:
Homework , School , High , 06-17-2012 , 06-21-2012 , 3 , Finish project
Meeting , Business , High , 06-18-2012 , 06-28-2012 , 2 , Get updates
Play SR3 , Home , Low , 06-17-2012 , 06-17-2012 , 1 , Take a break
Finish Project , School , High , 06-22-2012 , 06-25-2012 , 3 , Add two more files.
Setup , Business , High , 06-28-2012 , 06-30-2012 , 1 , Prepare for the new releases , and make sure it's perfect.
Movie Night , Home , Low , 07-01-2012 , 07-01-2012 , 1 , Pick out movies , and popcorn.
Check E-mail , School , High , 07-05-2012 , 07-05-2012 , 3 , Look for a message about grades. Hopefully good news!
Training , Business , Medium , 07-10-2012 , 07-20-2012 , 2 , Sales and computers are the main topics.
Play Max Payne , Home , Low , 08-01-2012 , 08-01-2012 , 1 , Haven't played this game is a while.
Party Night , Home , High , 08-08-2012 , 08-09-2012 , 3 , Drake is suppose to be there. Can't miss it!
Carpool Week , Business , Medium , 08-10-2012 , 08-16-2012 , 2 , It's Jimmy turn to drive and he will be here at 8:00 a.m.
Two Year Anniversary , Home , Medium , 10-22-2012 , 10-22-2012 , 1 , Helicopter tour , and dinner at Olive Garden.
Halloween Party , Home , Medium , 10-31-2012 , 10-31-2012 , 3 , Pickup Spiderman costume and snacks.
Meeting , Business , High , 11-01-2012 , 11-01-2012 , 2 , Prepare for the holiday sales.
Time for an upgrade , Home , Low , 11-02-2012 , 11-02-2012 , 1 , I need to upgrade both phones.
Plans for new app , Business , Low , 11-07-2012 , 11-21-2012 , 3 , Back to the drawing board.
Dinner Party , Business , Medium , 11-11-2012 , 11-11-2012 , 2 , Formal attire only.
Think of new layout , Business , Low , 11-24-2012 , 12-01-2012 , 1 , Code has been completed. Think of three different layouts.
Christmas break , School , Medium , 12-20-2012 , 01-01-2013 , 2 , Keep studying and still have fun.
Final Touches , Business , Medium , 12-15-2012 , 01-01-2013 , 1 , Fix errors and make sure layout is perfect.
